1	66362
2	69882
3	68389
4	64074
5	66786
6	68220
7	62845
8	59146
9	57749
10	66938
11	65124
12	70090
13	58268
14	68541
15	65714
16	63698
17	73495
18	71446
19	56658
20	57968
21	72064
22	70080
23	62625
24	63951
25	59493
26	67540
27	88982
28	74760
29	61148
30	64936
31	58537
32	99917
33	61253
34	95038
35	61263
36	60605
37	62792
38	61806
39	73458
40	56766
41	64579
42	66060
43	62093
44	62716
45	66272
46	61109
47	71150
48	57250
49	66032
50	66258
51	56846
52	62129
53	65546
54	64929
55	134327
56	66326
57	66324
58	66711
59	64986
60	68636
61	77798
62	72832
63	65578
64	58247
65	70020
66	72296
67	70587
68	63049
69	81129
70	77048
71	57021
72	70320
73	87500
74	69818
75	79359
76	71533
77	77091
78	104788
79	63378
80	61483
81	95336
82	59818
83	57173
84	62557
85	79907
86	60878
87	60403
88	80431
89	72361
90	72222
91	63975
92	72489
93	79426
94	73398
95	68369
96	75295
97	73317
98	65100
99	68287
100	71885
101	72560
102	70011
103	68160
104	58678
105	81970
106	63007
107	73237
108	75242
109	76556
110	72577
111	72755
112	73411
113	72216
114	72815
115	70342
116	56307
117	70612
118	66029
119	81592
120	70683
121	70760
122	58856
123	78529
124	69068
125	56458
126	68762
127	69762
128	65328
129	57199
130	62507
131	70818
132	70342
133	80822
134	78859
135	59053
136	83967
137	70979
138	70155
139	79152
140	56898
141	78245
142	106490
143	59918
144	72425
145	64776
146	61777
147	66638
148	85095
149	79177
150	64798
151	71669
152	73033
153	57801
154	72678
155	62152
156	71953
157	67253
158	57689
159	67515
160	68834
161	86862
162	74690
163	74950
164	76466
165	59138
166	70383
167	70595
168	73397
169	56794
170	64244
171	59428
172	64675
173	57986
174	67356
175	68980
176	73287
177	69741
178	70638
179	65007
180	67042
181	57167
182	63071
183	63621
184	74728
185	79565
186	72594
187	74473
188	69417
189	67504
190	58408
191	69127
192	62803
193	81109
194	72293
195	64936
196	74560
197	66167
198	70384
199	69577
200	61601
201	67229
202	65069
203	58101
204	61812
205	61830
206	241727
207	60103
208	74640
209	71092
210	58453
211	65841
212	81927
213	75716
214	68726
215	72655
216	57080
217	69271
218	72536
219	66331
220	67414
221	74845
222	77447
223	66256
224	64081
225	56355
226	62362
227	62955
228	65375
229	59599
230	67184
231	60078
